airport_code,airport_name,city,timezone,longitude,latitude
URS,Kursk East Airport,Bugulma,Europe/Moscow,36.2956008911132812,51.7505989074707031
LPK,Lipetsk Airport,Yoshkar-Ola,Europe/Moscow,39.5377998352050781,52.7028007507324219
VKT,Vorkuta Airport,Cheboksary,Europe/Moscow,63.9930992126464844,67.4886016845703125
UUA,Bugulma Airport,Ulyanovsk,Europe/Moscow,52.8017005920410156,54.6399993896484375
JOK,Yoshkar-Ola Airport,Orsk,Europe/Moscow,47.9047012329101562,56.7005996704101562
CSY,Cheboksary Airport,Penza,Europe/Moscow,47.3473014831542969,56.090301513671875
ULY,Ulyanovsk East Airport,Saransk,Europe/Samara,48.8027000427246094,54.4010009765625
OSW,Orsk Airport,Tambov,Asia/Yekaterinburg,58.5956001281738281,51.0724983215332031
PEZ,Penza Airport,Ust-Kut,Europe/Moscow,45.0210990905761719,53.1105995178222656
SKX,Saransk Airport,Gelendzhik,Europe/Moscow,45.2122573852539062,54.1251296997070312
TBW,Donskoye Airport,Yaroslavl,Europe/Moscow,41.4827995300289984,52.806098937987997
UKX,Ust-Kut Airport,Nizhnekamsk,Asia/Irkutsk,105.730003356933594,56.8567008972167969
GDZ,Gelendzhik Airport,Strezhevoy,Europe/Moscow,38.012480735799997,44.5820926295000035
IAR,Tunoshna Airport,Beloyarsky,Europe/Moscow,40.1573982238769531,57.560699462890625
NBC,Begishevo Airport,Kaluga,Europe/Moscow,52.092498779296875,55.5647010803222656
ULV,Ulyanovsk Baratayevka Airport,Gorno-Altaysk,Europe/Samara,48.2266998291000064,54.2682991027999932
SWT,Strezhevoy Airport,Krasnodar,Asia/Krasnoyarsk,77.66000366210001,60.7094001769999991
EYK,Beloyarskiy Airport,Makhachkala,Asia/Yekaterinburg,66.6986007689999951,63.6869010924999941
KLF,Grabtsevo Airport,Kazan,Europe/Moscow,36.3666687011999983,54.5499992371000033
RGK,Gorno-Altaysk Airport,Orenburg,Asia/Krasnoyarsk,85.8332977295000035,51.9667015075999998
KRR,Krasnodar Pashkovsky International Airport,Ufa,Europe/Moscow,39.1705017089839984,45.0346984863279971
MCX,Uytash Airport,Novosibirsk,Europe/Moscow,47.6523017883300781,42.8167991638183594
KZN,Kazan International Airport,Cherepovets,Europe/Moscow,49.278701782227003,55.606201171875
REN,Orenburg Central Airport,Omsk,Asia/Yekaterinburg,55.4566993713378906,51.7957992553710938
UFA,Ufa International Airport,Rostov-on-Don,Asia/Yekaterinburg,55.8744010925289984,54.5574989318850001
OVB,Tolmachevo Airport,Sochi,Asia/Novosibirsk,82.6507034301759944,55.012599945067997
CEE,Cherepovets Airport,Volgograd,Europe/Moscow,38.0158004761000043,59.2736015320000007
OMS,Omsk Central Airport,Blagoveshchensk,Asia/Omsk,73.3105010986328125,54.9669990539550781
ROV,Rostov-on-Don Airport,Magadan,Europe/Moscow,39.8180999755999991,47.2582015990999977
AER,Sochi International Airport,Chita,Europe/Moscow,39.9566001892089986,43.4499015808110016
VOG,Volgograd International Airport,Bratsk,Europe/Volgograd,44.3455009460449219,48.782501220703125
BQS,Ignatyevo Airport,Irkutsk,Asia/Yakutsk,127.412002563476562,50.4253997802734375
